old_idx,input_text_ar,target_text_ar,category,triples,data
281,أندرس أوزبورن | شركة تسجيلات | شناشي ريكوردز,تم توقيع أندرس أوزبورن على شناشي ريكوردز.,Artist,1,dev
284,أندرو رايل | الفنان المرتبط | جوايدان موين,يرتبط أندرو رايل مع الموسيقار جوايدان موين.,Artist,1,dev
285,"أندرو رايل | أصل | ""كيشيناو، مولدوفا""","مكان ميلاد أندرو رايل هو تشيسيناو، مولدوفا.",Artist,1,dev
287,أندرو وايت (موسيقي) | النوع | التيرناتيف روك,النوع الموسيقي الذي يلعبه أندرو وايت هو التيرناتيف روك.,Artist,1,dev
288,أسونسيون | جزء من | أسونسيون الكبرى.,أسونسيون جزء من أسونسيون الكبرى.,Artist,1,dev
290,ديرام ريكوردز | الموقع | لندن,موقع ديرام ريكوردز في لندن.,Artist,1,dev
293,فانك | مزيج النوع الموسيقي | آفروبيت.,آفروبيت هو مزيج من موسيقى الفانك.,Artist,1,dev
294,موسيقى الهيب هوب | صنف موسيقى | الراب العصابات,الراب العصابات هو نوع من موسيقى الهيب هوب.,Artist,1,dev
297,موسيقى الجاز | أصل الأسلوب | بلوز,نشأ أسلوب موسيقى الجاز من موسيقى البلوز.,Artist,1,dev
300,تسجيلات آر سي إيه | توزيعاتكومباني | تسجيلات ليغاسي,تسجيلات ليغاسي هي الشركة الموزعة لتسجيلات آر سي إيه.,Artist,1,dev
301,فرقة تويلايت | النوع | بلاك ميتال,النوع الموسيقي لفرقة تويلايت هو بلاك ميتال.,Artist,1,dev
455,المملكة المتحدة | قائد | الملكة إليزابيث الثانية,زعيمة المملكة المتحدة هي  الملكة إليزابيث الثانية.,Artist,1,train
1623,هارون بيرترام | الفنان المرتبط | أساطير الضواحي && هارون برترام | الفنان المرتبط | تخيل الأطفال الأمة,مسرحات هارون بيرترام لفرقة أساطير الضواحي وأطفال تخيل الأمة.,Artist,2,dev
1626,هارون بيرترام | الفنان المرتبط | أساطير الضواحي && أساطير الضواحي | النوع | سكا,مسرح هارون برترام لفرقة أساطير الضواحي وأنواعها هي سكا.,Artist,2,dev
1629,هارون دير | النوع | السايكدلية && هارون دير | آلة  | غيتار,العازف آرون الغزلان يلعب السايكدلية.,Artist,2,dev
1632,آرون تيرنر | الفنان المرتبط | إيزيس (باند) && آرون تيرنر | الفنان المرتبط | أكلة اللوتس (الفرقة),آرون تيرنر هو فنان على الفرقة إيزيس والموسيقي في فرقة أكلة اللوتس.,Artist,2,dev
1635,أبراداب | أصل | كاتوفيتشي && أبراداب | أصل | بولندا,"ولد أبراداب في كاتوفيتشي، بولندا.",Artist,2,dev
1638,ايس وايلدر | النوع | موسيقى الهيب هوب && موسيقى الهيب هوب | أصل الأسلوب | ديسكو,"ايس وايلدر هو مستعرض لموسيقى الهيب هوب، وهو أسلوب نشأ من الديسكو.",Artist,2,dev
1641,آدرسون | النوع | موسيقى الروك && موسيقى روك | أصل الأسلوب | الموسيقى الريفية,"آدرسون هو فنان موسيقى الروك، والذي أصوله من الموسيقى الريفية.",Artist,2,dev
1644,آلان فريو | النوع | موسيقى الروك && موسيقى روك | أصل الأسلوب | الموسيقى الريفية,"ألان فوريو يلعب موسيقى الروك، التي نشأت من الموسيقى الريفية.",Artist,2,dev
1647,ألبيني جونز | النوع | الجاز && الجاز | أصل الأسلوب | بلوز,موسيقى الجاز نشأت من موسيقى البلوز. ألبيني جونز هو أداء موسيقى الجاز.,Artist,2,dev
1650,ألبيني جونز | النوع | إيقاع والبلوز & إيقاع والبلوز | أصل الأسلوب | بلوز,"يعمل ألبيني جونز على إيقاع والبلوز، وهو نوع نشأ من موسيقى البلوز.",Artist,2,dev
1653,أليسكاندرا كوفاتش | النوع | موسيقى السول && أليسكاندرا كوفاتش | سنة بداية النشاط | 1990.,حدقت أليكساندرا كوفاك في عام 1990 وهي تؤدي موسيقى السول.,Artist,2,dev
1656,أليكس يوم | النوع | سينثبوب && سينثبوب | أصل الأسلوب | ديسكو,النوع الموسيقي في أليكس داي هو سينثبوب وهو مشتق من موسيقى الديسكو.,Artist,2,dev
1659,أليكس يوم | النوع | سينثبوب && سينثبوب | أصل الأسلوب | موسيقى موجة جديدة,"يلعب أليكس يوم سينثر، والتي نشأت من موسيقى موجة جديدة.",Artist,2,dev
1662,ألفريدو زيتاروسا | موت | مونتيفيديو && مونتيفيديو | قائد | دانيال مارتينيز (سياسي),توفي ألفريدو زيتاروسا في مونتيفيديو حيث دانيال مارتينيز هو القائد.,Artist,2,dev
1665,"ألفريدو زيتاروسا | النوع | زامبا (نموذجا فنيا) && ألفريدو زيتاروسا | خلفية | ""مغني منفردا""",النوع المسيقي لألفريدو زيتاروسا هو زامبا الذي يعتبر نموذجا فنيا وبدأ بمثابة مغني منفرد.,Artist,2,dev
1668,,,Artist,2,dev
1671,أليسون أودونيل | النوع | الجاز && أليسون أودونيل | آلة  | آلة الأوتوهارب.,أليسون أودونيل هو فنان موسيقى الجاز الذي يلعب آلة الأوتوهارب.,Artist,2,dev
1674,"ألين فورست | النوع | موسيقى البوب ​​&& ألين فورست | خلفية | ""مغني منفردا""",لدى ألين فورست خلفية كمغني منفردا وكان فنانا بوب.,Artist,2,dev
1677,موسيقي الروك | مزيج النوع الموسيقي | نيو ميتال && أندرو وايت (موسيقي) | النوع | الروك,يلعب أندرو وايت موسيقى الروك. موسيقى النيو ميتال هو مزيج من مسيقى الروك.,Artist,2,dev
1680,أندرس أوزبورن | الفنان المرتبط | بيلي إيسو && أندرس أوزبورن | الفنان المرتبط | تيريزا أندرسون,يرتبط أندرس أوزبورن بالموسيقيين بيلي إيسو وتيريزا أندرسون.,Artist,2,dev
1683,أندرس أوزبورن | النوع | إيقاع والبلوز && أندرس أوزبورن | شركة تسجيلات | سجلات راباداش,وقع موسيقي الإيقاع والبلوز أندرس أوزبورن مع شركة سجلات راباداش.,Artist,2,dev
1686,أندرا (مغنية) | النوع | موسيقى البوب ​​&& أندرا (مغنية) | سنة بداية النشاط | 2000.,بدأت أندرا التي تغني موسيقى البوب حياتها المهنية ​​في عام 2000.,Artist,2,dev
1689,"أندرا (مغنية) | النوع | موسيقى البوب ​​&& أندرا (مغنية) | خلفية | ""مغني منفردا""",بدأت أندرا حياتها المهنية بمثابة مغنية منفردة وتغني موسيقى البوب.,Artist,2,dev
1692,أندرا (مغنية) | النوع | موسيقى البوب ​​&& موسيقى البوب ​​| مزيج النوع الموسيقي | ديسكو,يمكن اعتبارديسكو مزيج أنواع موسيقى لأنه يحتوي على عناصر من اأنواع الأخرى مثل موسيقى البوب التي تؤديها المغنية أندرا.,Artist,2,dev
1695,أندرو رايل | الفنان المرتبط | جوناثان ميندلسون && أندرو رايل | الفنان المرتبط | مارك سالسما,يرتبط أندرو رايل مع كل من الفنان الموسيقي جوناثان ميندلسون ومارك سالتسما.,Artist,2,dev
1698,أندرو رايل | الفنان المرتبط | مارك سيكسما && أندرو رايل | الفنان المرتبط | كريستيان بورنس,"الموسيقيون أندرو رايل، الذين يرتبطون بكريستيان بورنس، ومارك سيكسما هم زملاء.",Artist,2,dev
1701,أندرو وايت (موسيقي) | الفنان المرتبط | ماري بانيلو && أندرو وايت (موسيقي) | النوع | الروك,"أندرو وايت الذي يلعب موسيقى الروك، يرتبط بالفنان الموسيقي ماري بانيلو.",Artist,2,dev
1704,أوروجواي | قائد | تاباري فازكيز && ألفريدو زيتاروسا | أصل | أوروغواي,ولد ألفريدو زيتاروسا في تاباري فازكيز بقيادة أوروغواي.,Artist,2,dev
2065,هارون بيرترام | الفنان المرتبط | الأطفال يتخيلون الأمة && هارون برترام | الفنان المرتبط | أساطير الضواحي && أساطير الضواحي | النوع | موسيقى البوب,"فنان مع فرقة الأطفال يتخيلون الأمة، هارون بيرترام يلعب مع لفرقة أساطير الضواحي التي تلعب موسيقى البوب.",Artist,3,dev
2068,هارون دير | النوع | إيندي روك && هارون دير | الأصل | إنديانا && آرون دير | الأصل | الولايات المتحدة الأمريكية,"ولد هارون دير في إنديانا، الولايات المتحدة ويوينه الموسيقية هو إيندي روك.",Artist,3,dev
2071,آرون تيرنر | الفنان المرتبط | فرقة تويلايت && آرون تيرنر | الفنان المرتبط | غريماشين && آرون تيرنر | النوع | بلاك ميتال,"يلعب هارون تيرنر موسيقى بلاك ميتال ويلعب لفرقة تويلايت. يرتبط السيد تيرنر أيضا بالغريماشين، الفرقة.",Artist,3,dev
2074,آرون تيرنر | الفنان المرتبط | فرقة تويلايت && آرون تيرنر | الفنان المرتبط | غريماشين && آرون تيرنر | النوع | موسيقى درون,يلعب آرون تيرنر موسيقى درون ولعب مع فرقة تويلايت والغريماشين.,Artist,3,dev
2077,آرون تيرنر | الفنان المرتبط | فرقة تويلايت && آرون تيرنر | الفنان المرتبط | فرقة السماق && آرون تيرنر | النوع | بلاك ميتال,لعب آرون تيرنر مع فرقة تويلايت وفرقة السماق. انه يؤدي موسيقى البلاك ميتال.,Artist,3,dev
2080,آرون تيرنر | النوع | بلاك ميتال & آرون تيرنر | الفنان المرتبط | فرقة السماق && أسود معدن | مزيج النوع الموسيقي | ديث ميتال,قام آرون تيرنر بالأداء مع فرقة السماق وهو موسيقي بلاك ميتال. ديث ميتال هو المزيج الموسيقي من بلاك ميتال.,Artist,3,dev
2083,آرون تيرنر | النوع | بلاك ميتال & آرون تيرنر | آلة  | غيتار كهربائي && أسود معدن | مزيج النوع الموسيقي | ديث ميتال,يلعب آرون تيرنر الغيتار الكهربائي في النوع بلاك ميتال. ديث ميتال هو الاندماج من بلاك ميتال.,Artist,3,dev
2086,أبراداب | النوع | موسيقى الهيب هوب && موسيقى الهيب هوب | صنف موسيقى | الراب العصابات && موسيقى الهيب هوب | مشتق | طبل وباس,يقوم أبراداب بإجراء موسيقى الهيب هوب التي لديها صنف موسيقى الراب العصابات. طبل وباس يستمد أصواته من موسيقى الهيب هوب.,Artist,3,dev
2089,"ايس وايلدر | شركة تسجيلات | وارنر ميوزك غروب && ايس وايلدر | أصل | السويد && ايس وايلدر | خلفية | ""مغني منفردا""","ايس وايلدر، من مواليد السويد، هو مغني منفرد في وارنر ميوزك غروب.",Artist,3,dev
2092,"أغوستين باربوزا | خلفية | ""مغني سولو"" && أغوستين باربوزا | النوع | غوارانيا (موسيقى) && أغوستين باربوزا | شركة تسجيلات | سجلات فيليبس",أغوستين باربوزا هو مغني منفردا ينفذ غوارانيا وتوقيعه على سجلات فيليبس.,Artist,3,dev
2095,أغوستين باربوزا | أصل | باراجواي && أغوستين باربوزا | تاريخ الميلاد | 1913-05-05 && أغوستين باربوزا | أصل | أسونسيون.,"ولد أغوستين باربوزا في الخامس من مايو 1913، في أسونسيون الذي هو في باراغواي.",Artist,3,dev
2098,أحمد إرتيغون | النوع | البلوز && أحمد إرتيغون | الأصل | الولايات المتحدة الأمريكية && أحمد إرتيغون | الأصل | واشنطن العاصمة.,"أحمد إرتيغون يؤدي موسيقى البلوز وهي من واشنطن، الولايات المتحدة.",Artist,3,dev
2100,آدرسون | الفنان المرتبط | فرقة نربك && آدرسون | الفنان المرتبط | أعشاب برية && آدرسون | سنة بداية النشاط | 1966.,"آدرسون، الذي يلعب مع الفرقة نربك، مرة واحدة لعبت مع أعشاب برية. 1966 هو العام الذي أصبح فيه أدرسون، من الفرقة نربك، نشط.",Artist,3,dev
2103,آلان فريو | النوع | موسيقى الروك && موسيقى روك | أصل الأسلوب | موسيقى الريف && موسيقى روك | أصل الأسلوب | الموسيقى الشعبية,آلان فوريوز النوع الموسيقي هو موسيقى الروك. نشأ النوع من الموسيقى الريفية ولديه أصول أسلوبية في الموسيقى الشعبية.,Artist,3,dev
2106,"ألبيني جونز | النوع | الجاز && ألبيني جونز | خلفية | ""مغني منفرد"" && ألبيني جونز | أصل | ارتا  مسيسبي","ولدت في ارتا  مسيسبي، ألبيني جونز هو موسيقي موسيقى الجاز ومغني منفرد.",Artist,3,dev
2109,ألبيني جونز | النوع | الجاز && الجاز | أصل الأسلوب | البلوز && الجاز | مزيج النوع الموسيقي | آفروبيت.,يلعب ألبيني جونز موسيقى الجاز التي نشأت من موسيقى البلوز. الانصهار من موسيقى الجاز هو الموسيقى آفروبيت.,Artist,3,dev
2112,أليسكاندرا كوفاتش | الفنان المرتبط | بيبي دول && أليسكاندرا كوفاتش | الفنان المرتبط | كورنيلي كوفاتش && أليسكاندرا كوفاتش | النوع | موسيقى البوب,"أليسكاندرا كوفاتش، الذي هو نوع موسيقيه هو نفس الفرقة مع كورنيلي كوفاتش ويرتبط مع الفنان الموسيقي بيبي دول.",Artist,3,dev
2115,أليسكاندرا كوفاتش | النوع | إيقاع والبلوز && أليسكاندرا كوفاتش | الفنان المرتبط | بيبي دول && أليسكاندرا كوفاتش | الفنان المرتبط | ثنائي الأختان كوفاتش,أليسكاندرا كوفاتش هي فنانة للثنائي الأختان كوفاتش ويرتبط مع الفنان الموسيقي بيبي دول. النوع الموسيقي من أليسكاندرا كوفاتش هو إيقاع والبلوز.,Artist,3,dev
2118,أليسكاندرا كوفاتش | النوع | إيقاع والبلوز && أليسكاندرا كوفاتش | الفنان المرتبط | بيبي دول && أليسكاندرا كوفاتش | الفنان المرتبط | كورنيلي كوفاتش.,تلعب أليسكاندرا كوفاتش الإيقاع والبلوز وهو في نفس الفرقة مع كورنيلي كوفاتش. كما يرتبط أيضا بالفنان الموسيقي بيبي دول.,Artist,3,dev
2121,ألفريد جارث جونز | موت | لندن && ألفريد جارث جونز | أصل | مانشستر && ألفريد جارث جونز | أصل | إنكلترا,ولد ألفريد جارث جونز في مانشستر (إنجلترا) وتوفي في لندن.,Artist,3,dev
2124,ألفريد جارث جونز | موت | لندن && ألفريد جارث جونز | جنسية | المملكة المتحدة & ألفريد جارث جونز | أصل | مانشستر,ولد ألفريد جورث جونز في مانشستر في المملكة المتحدة وتوفي في لندن.,Artist,3,dev
2127,ألفريد جارث جونز | موت | سيدسوب && ألفريد جارث جونز | موت | لندن && لندن | قائد | بوريس جونسون,"توفي ألفريد جارث جونز في سيدسوب، لندن (بقيادة بوريس جونسون).",Artist,3,dev
2130,"ألفريدو زيتاروسا | شركة تسجيلات | تسجيلات آر سي إيه && ألفريدو زيتاروسا | النوع | زامبا (نموذجا فنيا) && ألفريدو زيتاروسا | خلفية | ""مغني منفردا""","ألفريدو زيتاروسا، تسمية سجله تسجيلات آر سي إيه، في هذا النوع هو زامبا الذي يعتبر نموذجا فنيا ولديه خلفية بمثابة مغني منفرد.",Artist,3,dev
2133,أليسون أودونيل | النوع | الجاز && الجاز | مشتق | فانك && أليسون أودونيل | شركة تسجيلات | تسجيلات قافلة ثابتة,تم توقيع موسيقي موسيقى الجاز أليسون أودونيل مع تسجيلات قافلة ثابتة. موسيقى الجاز هي أصل الفانك.,Artist,3,dev
2136,"ألين فورست | النوع | الموسيقى الصوتية && ألين فورست | أصل | ""فورت كامبل، نشأ في دوثان"" && ألين فورست | خلفية | ""مغني منفردا""","ولد ألين فورست، وهو مغني منفرد ينفذ الموسيقى الصوتية، في فورت كامبل ونشأ في بلدة دوثان.",Artist,3,dev
2139,أندرس أوزبورن | الفنان المرتبط | بيلي إيسو && أندرس أوزبورن | الفنان المرتبط | صوت الأراضي الرطبة الكل نجوم && أندرس أوزبورن | الفنان المرتبط | تبويب بينوا,عمل أندرس أوزبورن مع تبويب بينويت ويرتبط بصوت الأراضي الرطبة جميع نجوم ويلي إيسو.,Artist,3,dev
2142,أندرس أوزبورن | شركة تسجيلات | سجلات التمساح && أندرس أوزبورن | شركة تسجيلات | سجلات أوك && أندرس أوزبورن | النوع | موسيقى روك,تم توقيع موسيقي الروك أندورز أوزبورن سابقا على سجلات التمساح وسجلات أوك.,Artist,3,dev
2145,أندرا (مغنية) | النوع | إيقاع والبلوز && أندرا (مغنية) | الفنان المرتبط | بويا (مغنية) && أندرا (مغنية) | الفنان المرتبط | فرقة كربل.,نوع المغني أندرا هو إيقاع والبلوز. وهي مرتبطة مع فرقة كربل ومع المغنية بويا.,Artist,3,dev
2148,"أندرا (مغنية) | النوع | إيقاع والبلوز && أندرا (مغنية) | خلفية | ""مغني منفرد"" && إيقاع والبلوز | مشتق | ديسكو","بدء حياتها المهنية كمغنية منفردة، النوع الموسيقي لأندرا هو الإيقاع والبلوز، المشتق منها، ديسكو.",Artist,3,dev
2151,أندرو رايل | الفنان المرتبط | جوايدان موين && كريستيان بيرنز | النوع | موسيقى هاوس && أندرو رايل | الفنان المرتبط | كريستيان بورنس,كريستيان بورنس يلعب موسيقى هاوس ويرتبط أندرو رايل. يرتبط السيد رايل مع الموسيقي جوايدان موين.,Artist,3,dev
2153,أرمين فان بويورين | النوع | موسيقى هاوس && أندرو رايل | الفنان المرتبط | أرمين فان بويورين && أندرو رايل | الفنان المرتبط | جوايدان موين,يرتبط أندرو رايل مع الموسيقيين جوايدان موين وأرمين فان بوورين (الذي يلعب موسيقى هاوس).,Artist,3,dev
3403,هارون بيرترام | الفنان المرتبط | الأطفال يتخيلون الأمة && هارون برترام | الفنان المرتبط | أساطير الضواحي && أساطير الضواحي | عضو الفرقة | براين روبرتسون (ترومبونيست) && هارون برترام | النوع | موسيقى البانك سكا,يقوم آرون بيرترام بتأدية موسيقى البانك سكا وهو فنان مع أطفال الفرقة تخيل الأمة وأيضا فرقة أساطير الضواحي حيث براين روبرتسون هو الترومبونيست.,Artist,4,dev
3406,"هارون دير | خلفية | ""مغني منفرد"" && هارون دير | النوع | السايكدلية && هارون دير | الأصل | إنديانابوليس && آرون دير | الأصل | إنديانا","مغني السايكدلية المنفرد هارون دير من إنديانابوليس، إنديانا.",Artist,4,dev
3409,آرون تيرنر | الفنان المرتبط | كآبة الرجل العجوز && آرون تيرنر | الفنان المرتبط | أكلة اللوتس (باند) && آرون تيرنر | النوع | موسيقى كهربائية && آرون تيرنر | سنة بداية النشاط | 1995.,الموسيقي الكهربائي آرون تيرنر في أكلة اللوتس وكان مع كآبة الرجل العجوز. بدأ حياته المهنية في عام 1995.,Artist,4,dev
3412,آرون تيرنر | الفنان المرتبط | فرقة تويلايت && آرون تيرنر | الفنان المرتبط | أكلة اللوتس (باند) && آرون تيرنر | النوع | بعد المعادن && آرون تيرنر | سنة بداية النشاط | 1995.,لعب آرون تيرنر مع فرقة تويلايت والآن في أكلة اللوتس. بدأ أداء في عام 1995 في النوع ما بعد المعدن.,Artist,4,dev
3415,آرون تيرنر | الفنان المرتبط | فرقة تويلايت && آرون تيرنر | الفنان المرتبط | كآبة الرجل العجوز && آرون تيرنر | النوع | بعد المعادن && آرون تيرنر | سنة بداية النشاط | 1995.,بدأت آرون تيرنر أداء موسيقى ما بعد المعادن في عام 1995. لعبت بأشرطة كآبة الشفق والكبار.,Artist,4,dev
3418,آرون تيرنر | الفنان المرتبط | فرقة تويلايت && آرون تيرنر | النوع | بلاك ميتال & آرون تيرنر | آلة  | غيتار كهربائي && أسود معدن | مزيج النوع الموسيقي | ديث ميتال,لعب آرون تيرنر الغيتار الكهربائي مع الشفق. يلعبون بلاك ميتال الذين اندماجهم الموسيقي هو ديث ميتال.,Artist,4,dev
3421,آرون تيرنر | النوع | بلاك ميتال & آرون تيرنر | الفنان المرتبط | فرقة ماميفر && آرون تيرنر | آلة  | الغناء && أسود معدن | مزيج النوع الموسيقي | ديث ميتال,المغني آرون تيرنر هو موسيقي بلاك ميتال يعمل مع فرقة ماميفر. ديث ميتال هو المزيج الموسيقي من بلاك ميتال.,Artist,4,dev
3424,"ايس وايلدر | خلفية | ""مغني منفردا"" && ايس وايلدر | تاريخ الميلاد | 1982 && ايس وايلدر | أصل | ستوكهولم && ايس وايلدر | تاريخ الميلاد | 1982-07-23.",ولد ايس وايلدر في 23 يوليو 1982 في ستوكهولم وهو مغني منفردا.,Artist,4,dev
3427,"أغوستين باربوزا | أصل | باراجواي && أغوستين باربوزا | النوع | غوارانيا (موسيقى) && أغوستين باربوزا | خلفية | ""مغني سولو"" && أغوستين باربوزا | أصل | أسونسيون.","ولد أغوستين باربوزا، وهو غوارانيا موسيقى مغني منفرد، في أسونسيون، باراجواي.",Artist,4,dev
3430,"آدرسون | الفنان المرتبط | فرقة نربك && آدرسون | الفنان المرتبط | أعشاب برية && آدرسون | أصل | وندسور، كونيتيكت && آدرسون | سنة بداية النشاط | 1966.","ولد أندرسون من الفرقة نربك في وندسور، كونيتيكت وبدأ حياته المهنية في عام 1966. وقال إنه كان عضوا في البرية.",Artist,4,dev
3433,آلان فريو | النوع | موسيقى الروك && موسيقى روك | أصل الأسلوب | موسيقى الروك | أصل الأسلوب | الموسيقى الشعبية && موسيقى الروك | مزيج النوع الموسيقي | بهانجرا (الموسيقى),"آلان فوريو هو أداء من موسيقى الروك، التي نشأت من الموسيقى الشعبية. بهانجرا هي جزء من نوع الانصهار، والذي يأتي جزئيا من موسيقى الروك، إلى جانب البلوز.",Artist,4,dev
3436,"ألبيني جونز | النوع | إيقاع والبلوز && ألبيني جونز | خلفية | ""مغني منفرد"" && ألبيني جونز | تاريخ الميلاد | 1914 && ألبيني جونز | أصل | الولايات المتحدة الأمريكية",ولد المغني السولو الإيقاع  البلوز ألبيني جونز في الولايات المتحدة. في عام 1914.,Artist,4,dev
3439,"ألبيني جونز | النوع | إيقاع والبلوز && ألبيني جونز | خلفية | ""مغني منفرد"" && إيقاع والبلوز | أصل الأسلوب | البلوز & الإيقاع والبلوز | مشتق | ديسكو",ألبيني جونز هو مغني منفردا لعب الموسيقى الإيقاع والبلوز. هذا النوع من الموسيقى ينشأ من موسيقى البلوز. موسيقى ديسكو تأتي من أصوات الإيقاع والبلوز.,Artist,4,dev
3442,"أليسكاندرا كوفاتش | تاريخ الميلاد | 1972 & أليسكاندرا كوفاتش | النوع | موسيقى البوب ​​&& أليسكاندرا كوفاتش | أصل | بلغراد && أليسكاندرا كوفاتش | خلفية | ""مغني منفردا""","ولد المغني والموسيقي البوب ​​ألكسندرا كوفاك 1972، في بلغراد.",Artist,4,dev
3445,"أليسكاندرا كوفاتش | تاريخ الميلاد | 1972 & أليسكاندرا كوفاتش | النوع | موسيقى البوب ​​&& أليسكاندرا كوفاتش | أصل | جمهورية صربيا سرعة هروب & أليسكاندرا كوفاتش | خلفية | ""مغني منفردا""",ولد المغني البوب ​​الصربي أليسكاندرا كوفاتش في صربيا عام 1972.,Artist,4,dev
3448,"أليسكاندرا كوفاتش | النوع | إيقاع والبلوز && أليسكاندرا كوفاتش | تاريخ الميلاد | 1972 & أليسكاندرا كوفاتش | أصل | بلغراد && أليسكاندرا كوفاتش | خلفية | ""مغني منفردا""",ولد الإيقاع والأداء البلوز أليسكاندرا كوفاتش في عام 1972 في بلغراد وهو مغني منفردا.,Artist,4,dev
3451,أليكس يوم | الفنان المرتبط | حلبة الحرباء (الفرقة) && أليكس داي | النوع | الموسيقى الإلكترونية & أليكس داي | الفنان المرتبط | تشارلي ماكدونل && أليكس داي | سنة بداية النشاط | 2006.,"أليكس يوم، الذي يرتبط بالأداء تشارلي ماكدونل، يلعب مع دائرة الحرباء الفرقة. أصبح نشطا في عام 2006 وتخصصه هو الموسيقى الإلكترونية.",Artist,4,dev
3454,"أليكس يوم | النوع | سينثبوب && سينثبوب | أصل الأسلوب | موسيقى البوب ​​اكس اليوم | خلفية | ""مغني سولو"" && سينثبوب | مشتق | بيت الموسيقى",أليكس داي هو المغني المنفرد الذي يستخدم هذا النوع من الموسيقى سينثبوب وهو مشتق من موسيقى هاوس التي تأتي من البوب.,Artist,4,dev
3457,أليسون أودونيل | الفنان المرتبط | يانع الشموع && أليسون أودونيل | الفنان المرتبط | رئيس الجنوب من النسيج && أليسون أودونيل | النوع | الموسيقى الشعبية && أليسون أودونيل | سنة بداية النشاط | 1963.,بدأت الموسيقي الشعبية أليسون أودونيل في عام 1963 وترتبط مع الجنوب من خلال النسيج والشموع يانع.,Artist,4,dev
3460,أليسون أودونيل | النوع | الجاز && أليسون أودونيل | شركة تسجيلات | ديرام ريكوردز & ديرام ريكوردز | الموقع | لندن && أليسون أودونيل | شركة تسجيلات | الفاكهة دي مير السجلات,"أليسون أودونيل، الذي أدى موسيقى الجاز، مرة واحدة تم توقيعه على ديرام ريكوردز ووقت آخر لسجلات الفواكه دي مير. لندن هي موطن لديرام ريكوردز.",Artist,4,dev
3463,أندرس أوزبورن | الفنان المرتبط | بيلي إيسو && أندرس أوزبورن | الفنان المرتبط | تبويب بينوا && أندرس أوزبورن | النوع | موسيقى الروك && أندرس أوزبورن | الفنان المرتبط | غالاكتيك,عملت موسيقى الروك أندورز أوزبورن مع فرقة غالاكتيك  وأيضا مع الفنانين الموسيقيين تبويب بينوا ويلي إيوسو.,Artist,4,dev
